#Parameters = {distance_slot=0.6; distance_wg=1; h_wg=5; l1_slot=15; l2_slot=1; l_wg=110; lambda=30; t_wg=0.1; w_wg=21.94; Mesh Pass=3}
#"Z / mm"	"h-field_center_1 (Mesh Pass=3) [Re]"	"h-field_center_1 (Mesh Pass=3) [Im]"
#------------------------------------------------------------------------------------
-43.175000000000	-2.1311922073364	7.0284261703491
-43.037500000000	-2.0373024940491	6.9310245513916
-42.900000000000	-1.9434155225754	6.8336253166199
-42.762500000000	-1.8471150398254	6.7268238067627
-42.625000000000	-1.7500374317169	6.6169929504395
-42.487500000000	-1.6529598236084	6.5071620941162
-42.350000000000	-1.5558822154999	6.3973307609558
-42.212500000000	-1.4588073492050	6.2875027656555
-42.075000000000	-1.3600997924805	6.1685552597046
-41.937500000000	-1.2611129283905	6.0480461120605
-41.800000000000	-1.1621263027191	5.9275379180908
-41.662500000000	-1.0631394386292	5.8070287704468
-41.525000000000	-0.96415555477142	5.6865234375000
-41.387500000000	-0.86463516950607	5.5577383041382
-41.250000000000	-0.76508748531342	5.4285297393799
-41.112500000000	-0.66553986072540	5.2993216514587
-40.975000000000	-0.56599223613739	5.1701135635376
-40.837500000000	-0.46648848056793	5.0405893325806
-40.700000000000	-0.36778217554092	4.9048624038696
-40.562500000000	-0.26907581090927	4.7691354751587
-40.425000000000	-0.17036949098110	4.6334085464478
-40.287500000000	-0.071663141250610	4.4976811408997
-40.150000000000	0.026707239449024	4.3613457679749
-40.012500000000	0.12313888221979	4.2214412689209
-39.875000000000	0.21957054734230	4.0815362930298
-39.737500000000	0.31600216031075	3.9416313171387
-39.600000000000	0.41243383288383	3.8017265796661
-39.462500000000	0.50795948505402	3.6613984107971
-39.325000000000	0.60068988800049	3.5197429656982
-39.187500000000	0.69342029094696	3.3780875205994
-39.050000000000	0.78615063428879	3.2364320755005
-38.912500000000	0.87888097763062	3.0947766304016
-38.775000000000	0.96987998485565	2.9533443450928
-38.637500000000	1.0575499534607	2.8123309612274
-38.500000000000	1.1452199220657	2.6713173389435
-38.362500000000	1.2328898906708	2.5303037166595
-38.225000000000	1.3205597400665	2.3892900943756
-38.087500000000	1.4055842161179	2.2494459152222
-37.950000000000	1.4872362613678	2.1110863685608
-37.812500000000	1.5688884258270	1.9727263450623
-37.675000000000	1.6505404710770	1.8343665599823
-37.537500000000	1.7321925163269	1.6960067749023
-37.400000000000	1.8096114397049	1.5601465702057
-37.262500000000	1.8862769603729	1.4247283935547
-37.125000000000	1.9615185260773	1.2902743816376
-36.987500000000	2.0344741344452	1.1573679447174
-36.850000000000	2.1074295043945	1.0244615077972
-36.712500000000	2.1768908500671	0.89405488967896
-36.575000000000	2.2460474967957	0.76386404037476
-36.437500000000	2.3136863708496	0.63479024171829
-36.300000000000	2.3795051574707	0.50705671310425
-36.162500000000	2.4435057640076	0.38069164752960
-36.025000000000	2.5064659118652	0.25511190295219
-35.887500000000	2.5670597553253	0.13135465979576
-35.750000000000	2.6271274089813	0.0080032246187329
-35.612500000000	2.6842315196991	-0.11297967284918
-35.475000000000	2.7406780719757	-0.23340713977814
-35.337500000000	2.7941641807556	-0.35133200883865
-35.200000000000	2.8476517200470	-0.46926015615463
-35.062500000000	2.8978860378265	-0.58427268266678
-34.925000000000	2.9470191001892	-0.69829809665680
-34.787500000000	2.9947156906128	-0.81095695495605
-34.650000000000	3.0392484664917	-0.92060422897339
-34.512500000000	3.0837824344635	-1.0302546024323
-34.375000000000	3.1223235130310	-1.1338384151459
-34.237500000000	3.1600284576416	-1.2365758419037
-34.100000000000	3.1977334022522	-1.3393132686615
-33.962500000000	3.2354373931885	-1.4420478343964
-33.825000000000	3.2684741020203	-1.5398648977280
-33.687500000000	3.2966985702515	-1.6326099634171
-33.550000000000	3.3249230384827	-1.7253550291061
-33.412500000000	3.3531472682953	-1.8180999755859
-33.275000000000	3.3813710212708	-1.9108425378799
-33.137500000000	3.4024102687836	-1.9957766532898
-33.000000000000	3.4206309318542	-2.0776464939117
-32.862500000000	3.4388515949249	-2.1595163345337
-32.725000000000	3.4570722579956	-2.2413861751556
-32.587500000000	3.4752924442291	-2.3232536315918
-32.450000000000	3.4841852188110	-2.3947820663452
-32.312500000000	3.4925251007080	-2.4656977653503
-32.175000000000	3.5008654594421	-2.5366134643555
-32.037500000000	3.5092055797577	-2.6075289249420
-31.900000000000	3.5159149169922	-2.6766071319580
-31.762500000000	3.5146570205688	-2.7367124557495
-31.625000000000	3.5133993625641	-2.7968189716339
-31.487500000000	3.5121417045593	-2.8569252490997
-31.350000000000	3.5108840465546	-2.9170308113098
-31.212500000000	3.5059790611267	-2.9729604721069
-31.075000000000	3.4955055713654	-3.0225119590759
-30.937500000000	3.4850318431854	-3.0720639228821
-30.800000000000	3.4745581150055	-3.1216158866882
-30.662500000000	3.4640846252441	-3.1711673736572
-30.525000000000	3.4481618404388	-3.2143464088440
-30.387500000000	3.4289219379425	-3.2536447048187
-30.250000000000	3.4096817970276	-3.2929434776306
-30.112500000000	3.3904416561127	-3.3322422504425
-29.975000000000	3.3712019920349	-3.3715405464172
-29.837500000000	3.3449587821960	-3.4024195671082
-29.700000000000	3.3174550533295	-3.4317822456360
-29.562500000000	3.2899508476257	-3.4611449241638
-29.425000000000	3.2624468803406	-3.4905080795288
-29.287500000000	3.2343778610229	-3.5191669464111
-29.150000000000	3.1991581916809	-3.5389244556427
-29.012500000000	3.1639394760132	-3.5586814880371
-28.875000000000	3.1287198066711	-3.5784387588501
-28.737500000000	3.0935001373291	-3.5981962680817
-28.600000000000	3.0561509132385	-3.6151838302612
-28.462500000000	3.0138094425201	-3.6256797313690
-28.325000000000	2.9714684486389	-3.6361756324768
-28.187500000000	2.9291269779205	-3.6466715335846
-28.050000000000	2.8867855072021	-3.6571674346924
-27.912500000000	2.8410413265228	-3.6629958152771
-27.775000000000	2.7922165393829	-3.6645994186401
-27.637500000000	2.7433924674988	-3.6662032604218
-27.500000000000	2.6945676803589	-3.6678071022034
-27.362500000000	2.6457428932190	-3.6694107055664
-27.225000000000	2.5925660133362	-3.6646447181702
-27.087500000000	2.5379433631897	-3.6577630043030
-26.950000000000	2.4833214282990	-3.6508817672729
-26.812500000000	2.4286987781525	-3.6440000534058
-26.675000000000	2.3740761280060	-3.6371188163757
-26.537500000000	2.3145081996918	-3.6223978996277
-26.400000000000	2.2548205852509	-3.6074888706207
-26.262500000000	2.1951339244843	-3.5925798416138
-26.125000000000	2.1354465484619	-3.5776705741882
-25.987500000000	2.0748918056488	-3.5612416267395
-25.850000000000	2.0109207630157	-3.5388236045837
-25.712500000000	1.9469490051270	-3.5164048671722
-25.575000000000	1.8829780817032	-3.4939866065979
